From,To,Direction,Type,Tags
MATH 111,OR_MATH 111_MATH 135_MTH 121_MTH 127_R640 135,directed,OR_dep,
MATH 111,OR_MATH 111_MTH 121_R640 135,directed,OR_dep,
MATH 111,OR_MATH 111_MATH 135_MATH 138_MTH 114_MTH 121_MTH 127_R640 119_R640 135,directed,OR_dep,
MATH 111,OR_MATH 110_MATH 111_MATH 113_MATH 135_MATH 138_MTH 120_MTH 121_R640 114_R640 135,directed,OR_dep,
MATH 111,OR_MATH 111_MATH 138_MTH 121_MTH 127_R640 119_R640 135,directed,OR_dep,
MATH 111,OR_MATH 111_MATH 138_MTH 114_MTH 121_MTH 127_R640 119_R640 135,directed,OR_dep,
MATH 111,OR_MATH 111_MATH 132_MTH 121_R640 135,directed,OR_dep,
MATH 111,OR_MATH 110_MATH 111_MATH 112_MATH 135_MATH 138_MTH 120_MTH 121_MTH 122_R640 114_R640 135_R640 136,directed,OR_dep,
MATH 111,OR_MATH 107_MATH 108_MATH 110_MATH 111_MATH 138_MTH 113_MTH 114_MTH 119_MTH 120_MTH 121_MTH 127_R640 114_R640 119_R640 135,directed,OR_dep,
MATH 111,"OR_('&', 'ENGR 101', 'MATH 110')_MATH 111_MTH 121_R640 135",directed,OR_dep,
MATH 111,OR_MATH 111_MATH 138_MTH 114_MTH 121_MTH 127_R640 135,directed,OR_dep,
MATH 111,"OR_('&', 'ARCH 156', 'MATH 107')_('&', 'ENGR 101', 'MATH 110')_MATH 111_MATH 113_MATH 138",directed,OR_dep,
MATH 111,OR_ENGR 101_MATH 111_MTH 121_R640 135,directed,OR_dep,
MATH 111,OR_MATH 111_MATH 238_MTH 121_MTH 213_R640 135_R640 136,directed,OR_dep,
OR_MATH 111_MATH 135_MTH 121_MTH 127_R640 135,"AND_('|', 'MATH 111', 'MATH 135', 'MTH 121', 'MTH 127', 'R640 135')_FIN 310_FIN 320",directed,AND_dep,
MATH 135,OR_MATH 111_MATH 135_MTH 121_MTH 127_R640 135,directed,OR_dep,
MATH 135,OR_MATH 111_MATH 135_MATH 138_MTH 114_MTH 121_MTH 127_R640 119_R640 135,directed,OR_dep,
MATH 135,OR_MATH 110_MATH 111_MATH 113_MATH 135_MATH 138_MTH 120_MTH 121_R640 114_R640 135,directed,OR_dep,
MATH 135,OR_MATH 110_MATH 111_MATH 112_MATH 135_MATH 138_MTH 120_MTH 121_MTH 122_R640 114_R640 135_R640 136,directed,OR_dep,
MTH 121,OR_MATH 111_MATH 135_MTH 121_MTH 127_R640 135,directed,OR_dep,
MTH 121,OR_MATH 111_MTH 121_R640 135,directed,OR_dep,
MTH 121,OR_MATH 111_MATH 135_MATH 138_MTH 114_MTH 121_MTH 127_R640 119_R640 135,directed,OR_dep,
