Label,Type,Tags
MATH 111,course,course | MATH
OR_MATH 111_MATH 135_MTH 121_MTH 127_R640 135,operator,operator | OR
MATH 135,course,course | MATH
MTH 121,course,course | MTH
MTH 127,course,course | MTH
R640 135,course,course | R640
"AND_('|', 'MATH 111', 'MATH 135', 'MTH 121', 'MTH 127', 'R640 135')_FIN 310_FIN 320",operator,operator | AND
FIN 310,course,course | FIN
FIN 320,course,course | FIN
FIN 410,course,course | FIN
BIOL 201,course,course | BIOL
OR_BIOL 201_R120 201,operator,operator | OR
R120 201,course,course | R120
"AND_('|', 'BIOL 201', 'R120 201')_('|', 'BIOL 202', 'R120 202')_('|', 'BIOL 205', 'R120 205')_('|', 'BIOL 206', 'R120 206')",operator,operator | AND
BIOL 202,course,course | BIOL
OR_BIOL 202_R120 202,operator,operator | OR
R120 202,course,course | R120
BIOL 205,course,course | BIOL
OR_BIOL 205_R120 205,operator,operator | OR
R120 205,course,course | R120
BIOL 206,course,course | BIOL
OR_BIOL 206_R120 206,operator,operator | OR
R120 206,course,course | R120
BIOL 382,course,course | BIOL
CHE 791,course,course | CHE
CHE 792,course,course | CHE
PHYS 102A,course,course | PHYS
PHYS 102,course,course | PHYS
ME 616,course,course | ME
ME 636,course,course | ME
PTC 601,course,course | PTC
PTC 604,course,course | PTC
CS 288,course,course | CS
AND_CS 288_CS 332_CS 350,operator,operator | AND
CS 332,course,course | CS
CS 350,course,course | CS
CS 433,course,course | CS
BIOL 432,course,course | BIOL
OR_BIOL 432_MATH 430,operator,operator | OR
MATH 430,course,course | MATH
BIOL 436,course,course | BIOL
CHEM 221,course,course | CHEM
"AND_('|', 'CHEM 221')_('|', 'CHEM 235')_MATH 225",operator,operator | AND
CHEM 235,course,course | CHEM
MATH 225,course,course | MATH
CHEM 235A,course,course | CHEM
CS 207,course,course | CS
OR_CS 207_YWCC 207,operator,operator | OR
YWCC 207,course,course | YWCC
YWCC 307,course,course | YWCC
MATH 244,course,course | MATH
OR_MATH 244_MATH 333_MTH 141,operator,operator | OR
MATH 333,course,course | MATH
MTH 141,course,course | MTH
MATH 341,course,course | MATH
MATH 222,course,course | MATH
